Model,Full_AUC,Mini_AUC,Drop
Logistic Reg.,0.9990666666666665,0.9869333333333333,0.012133333333333218
SVM,0.9991999999999999,0.9881333333333334,0.011066666666666447
Decision Tree,0.9706666666666667,0.9339999999999999,0.036666666666666736
Random Forest,0.9996,0.9826666666666666,0.016933333333333467
Grad. Boosting,0.9996,0.9884000000000001,0.011199999999999988
XGBoost,0.9989333333333335,0.9920000000000002,0.006933333333333236
CatBoost,,0.9906666666666666,
KNN,0.9929333333333332,0.9772000000000001,0.015733333333333155
Naive Bayes,0.9828666666666667,0.9886666666666667,-0.005800000000000027
